orderId,firstName,lastName,dateOfBirth,wipState,dateCreated,address,city,state,zipCode
14595,Demetrius,Raymond,7/28/1973,In Progress,10/25/2020,462-2401 Rhoncus. Street,Roxboro,CT,40947
15010,Brittany,Castro,6/5/1980,Complete,10/10/2020,"Ap #340-7287 A, St.",Klemskerke,CT,40947
38513,Brady,Hale,7/28/2026,Need More Info,8/17/2020,596-6628 Eget Avenue,Polcenigo,CT,40947
58136,Paula,Frye,6/17/1979,Out for Delivery,10/12/2020,367-4884 Nisi Road,Trinità d'Agultu e Vignola,CT,40947
43441,Austin,Carlson,5/25/1961,Not yet created,7/3/2020,6954 Sociis St.,Campbelltown,CT,40947
31890,Louis,Talley,1/11/1994,In Progress,8/2/2020,Ap #701-5461 Facilisis Rd.,La Cisterna,CT,40947
31827,Kevin,Simpson,11/22/1958,Complete,10/11/2020,452-9103 Pellentesque Av.,Bouge,CT,40947
51683,Jenna,Foreman,2/27/1962,Need More Info,7/28/2020,"P.O. Box 282, 3043 Nullam Ave",Windermere,CT,40947
15213,Stewart,Stone,3/11/1971,Out for Delivery,7/15/2020,4836 Integer St.,Panchià,CT,40947
51331,Scarlett,Brady,12/9/1980,Not yet created,7/25/2020,554-1820 Molestie St.,Kallo,CT,40947
11998,Tyrone,Villarreal,2/13/1954,In Progress,10/17/2020,"P.O. Box 633, 785 Eu Avenue",Rezé,CT,40947
55892,Rhonda,Strong,3/1/1984,Complete,7/6/2020,8086 Interdum St.,Jacksonville,CT,40947
36586,Shellie,Mckay,4/3/1988,Need More Info,8/25/2020,693-1010 Ac St.,Beaumaris,CT,40947
53004,Beverly,Hart,2/5/1937,Out for Delivery,9/17/2020,"P.O. Box 361, 7113 Purus. Rd.",Zeitz,CT,40947
57938,Camille,Andrews,10/1/1965,Not yet created,11/1/2020,"P.O. Box 912, 9953 Vestibulum, Ave",Ghanche,CT,11017
14910,Zachery,Waters,12/14/1957,In Progress,8/31/2020,759 Nulla Rd.,Andong,MA,11017
40089,Madeline,Decker,8/7/1983,Complete,9/11/2020,Ap #434-908 Vulputate Ave,Anchorage,MA,11017
45717,Leah,Landry,9/12/1971,Need More Info,10/30/2020,Ap #675-2917 Commodo Av.,Raymond,MA,11017
22780,Felix,Page,9/27/1950,Out for Delivery,7/15/2020,358 Sed St.,Saavedra,MA,11017
35823,Kyla,Shaw,9/9/1947,Not yet created,9/27/2020,Ap #855-526 Nec Street,Sainte-Flavie,MA,20118
14757,Reuben,Leblanc,5/26/1993,In Progress,9/17/2020,7372 Eleifend Road,Lampa,MA,45055
57591,Berk,Roberts,11/17/1969,Complete,10/9/2020,Ap #805-2936 Luctus Rd.,Mustafakemalpaşa,CT,45055
42849,Rooney,Horton,12/9/1943,Need More Info,7/27/2020,345-7018 Porttitor Ave,Grembergen,CT,75639
29817,Eleanor,Harvey,6/9/1945,Out for Delivery,6/19/2020,"P.O. Box 794, 4097 Dui Road",Baulers,CT,77513
58814,John,Mcintyre,1/13/1930,Not yet created,6/26/2020,"P.O. Box 886, 3459 Est. St.",Chernogolovka,CT,10122
12788,Bruce,Bullock,9/18/1961,In Progress,9/2/2020,975-6065 Luctus Ave,Chambord,CT,10122
23333,Noel,George,5/20/1977,Complete,8/18/2020,"P.O. Box 905, 2702 Quam Avenue",Malle,CT,10122
56262,Ora,Harrington,7/16/1984,Need More Info,6/12/2020,101-7451 Tempus Av.,Pietrasanta,CT,10122
16999,Alden,Boone,8/4/1968,Out for Delivery,10/15/2020,2839 Varius. Ave,Vänersborg,CT,10122
10756,Abbot,Shepard,4/27/1973,Not yet created,10/25/2020,323-7910 Arcu. Av.,Kerkrade,CT,10122
13685,Arden,Keith,1/4/1982,In Progress,11/4/2020,478-1104 Adipiscing Road,Palestrina,CT,10122
15660,Jerry,Rodgers,9/11/1970,Complete,9/30/2020,Ap #341-1732 Cras Street,Jolanda di Savoia,CT,10122
46922,Hanna,Rich,11/4/1936,Need More Info,8/1/2020,544-7849 Nunc Ave,Maltignano,CT,10122
49846,Hammett,Holloway,2/19/2024,Out for Delivery,8/22/2020,3897 Nisl. Avenue,Coldstream,CT,10122
22361,Jordan,Henderson,6/1/1988,Not yet created,8/18/2020,"P.O. Box 690, 3143 Dolor. Rd.",Bettiah,CT,49594
39399,Aphrodite,Pratt,7/4/1969,In Progress,7/23/2020,"P.O. Box 931, 5336 Risus. Street",Reading,CT,49594
