id,firstName,lastName,dateOfBirth,wipState,dateCreated,city
20445,Demetrius,Yang,9/25/1953,In Progress,7/29/2020,Port Glasgow
34975,Basil,Lloyd,4/30/1942,Qualified,7/13/2020,Tucson
20789,Eugenia,Poole,8/21/1979,Complete,7/6/2020,St. David's
43394,Ella,Fox,3/9/1988,Complete,8/11/2020,Firenze
17846,Griffith,Bailey,9/16/1959,In Progress,9/28/2020,Barrow-in-Furness
10322,Lysandra,Dorsey,3/1/1958,Error,10/12/2020,Baie-Comeau
59801,Belle,Todd,7/16/1951,Complete,7/20/2020,Ussassai
56403,Valentine,Carney,12/8/1983,In Progress,7/8/2020,Waterloo
52051,Louis,Larsen,1/29/1980,Order Not Yet Created,8/6/2020,Cusco
22437,Otto,King,3/31/1970,In Progress,9/2/2020,Zandhoven
56771,Thomas,Fulton,8/3/1962,Complete,9/30/2020,Barcelona
52630,Tobias,Byers,11/14/1992,Order Not Yet Created,8/6/2020,Impe
38871,Penelope,Nichols,1/12/2000,In Progress,8/22/2020,Tacoma
36785,Travis,York,11/26/1991,Qualified,8/25/2020,Huasco
36073,Keelie,Manning,6/11/1970,Complete,8/26/2020,Turgutlu
55980,Yoshio,Anderson,11/12/1938,Complete,7/5/2020,Oderzo
59432,Ayanna,Larsen,12/10/1980,In Progress,10/9/2020,Las Condes
21598,Donovan,Ruiz,5/13/1989,Error,9/1/2020,Bursa
37728,Lyle,Carver,8/4/1993,Complete,10/19/2020,Roxboro
35181,Nola,Rollins,7/19/1970,In Progress,9/30/2020,Alhué
14796,Dennis,Ewing,6/14/2000,Order Not Yet Created,7/5/2020,Autre-Eglise
12327,Shay,Brown,6/15/1988,In Progress,9/26/2020,Agustín Codazzi
52510,Tyler,Lloyd,4/27/1936,Complete,8/29/2020,Elversele
45460,Nicole,Rhodes,1/18/1955,Order Not Yet Created,7/11/2020,Airdrie
19865,Brenden,Ray,4/23/1953,In Progress,7/27/2020,Lawton
56648,Vivian,Mccall,1/21/1975,Qualified,9/28/2020,Torquay
59010,Acton,Barton,11/11/1935,Complete,10/1/2020,Quemchi
53142,Bruce,Melton,10/29/1978,Complete,7/15/2020,Rimbey
22712,Signe,Rice,12/27/1986,In Progress,7/14/2020,Autelbas
11503,Scarlet,Duffy,9/30/1938,Error,10/17/2020,Neu-Isenburg
41880,Caryn,Little,10/24/1989,Complete,9/28/2020,Kidwelly
30913,Charissa,Potter,12/1/1966,In Progress,9/19/2020,Gboko
41591,Garth,Greer,5/8/1936,Order Not Yet Created,9/3/2020,Campotosto
11502,Castor,Bright,5/4/1992,In Progress,10/19/2020,Raymond
48524,Byron,Burks,12/10/1984,Complete,8/13/2020,Sant'Angelo a Cupolo
27355,Richard,Parrish,7/14/1966,Order Not Yet Created,7/14/2020,Wolfville
26122,Arsenio,Bradley,10/24/1948,In Progress,7/29/2020,Betim
59400,Stuart,Bowers,11/29/1968,Qualified,7/3/2020,Montebello
36883,Liberty,Maynard,9/15/1956,Complete,10/19/2020,Biloxi
51812,Emery,Branch,4/13/1949,Complete,7/18/2020,Irvine
34063,Dakota,Campbell,5/18/1997,In Progress,9/29/2020,Paillaco
37046,Clarke,Chaney,12/21/1959,Error,10/15/2020,Fairbanks
11805,Francis,Irwin,1/10/1962,Complete,9/3/2020,Stonewall
57092,Dean,Shepard,10/3/1960,In Progress,8/8/2020,Belfort
39307,Alyssa,Burnett,11/3/1955,Order Not Yet Created,9/24/2020,Swan Hill
27499,Carissa,Webb,8/13/1948,In Progress,9/23/2020,Ollolai
29635,Yoko,Jordan,10/20/1936,Complete,7/11/2020,Tirupati
28173,Kiona,Mcdonald,8/23/1988,Order Not Yet Created,9/2/2020,Auburn
37160,Lesley,Maynard,4/20/1980,In Progress,10/14/2020,Sagrada Familia
36219,Alisa,Ingram,9/25/1943,Qualified,8/31/2020,Patalillo
17648,Regan,Randolph,9/22/1955,Complete,9/5/2020,Lowell
48244,Bruce,Bradshaw,7/12/1982,Complete,7/15/2020,Ribeirão das Neves
52925,Mohammad,Ayala,12/14/1982,In Progress,8/4/2020,Biez
46244,Roary,Bullock,8/11/1992,Error,9/6/2020,Wilhelmshaven
30809,Barclay,Russo,2/9/1974,Complete,8/8/2020,Pulderbos
26414,Daria,Hatfield,5/20/1944,In Progress,8/18/2020,Vierzon
30777,Aubrey,Contreras,8/5/1936,Order Not Yet Created,9/17/2020,Gualdo Cattaneo
43424,Hilary,Hatfield,3/15/1983,In Progress,10/8/2020,Zignago
46574,Duncan,Callahan,7/27/1948,Complete,9/5/2020,Penrith
16238,Mannix,Day,2/6/1947,Order Not Yet Created,7/14/2020,Beerzel
54174,Abdul,Dillard,1/16/1951,In Progress,8/28/2020,Nossegem
56838,Xena,Dudley,7/9/1991,Qualified,8/11/2020,Ruisbroek
26927,Len,Roman,2/18/1967,Complete,10/12/2020,Chépica
47147,Helen,Cline,7/3/1971,Complete,7/29/2020,Hoogeveen
35852,David,Greene,7/15/1942,In Progress,7/22/2020,Owensboro
50124,Nayda,Black,6/1/1989,Error,9/29/2020,Adana
31323,Colleen,Sosa,3/28/1965,Complete,9/11/2020,Lasbela
46414,Gemma,Grant,6/14/1965,In Progress,7/4/2020,Querétaro
23820,Wesley,Flowers,5/28/1961,Order Not Yet Created,8/13/2020,Bremen
14892,Gabriel,Mckinney,11/21/1966,In Progress,9/22/2020,Salles
20289,Kim,Irwin,3/4/1953,Complete,7/3/2020,Amsterdam
22541,Caryn,Ellis,7/13/1948,Order Not Yet Created,7/15/2020,Saint-GŽry
59637,Erich,Kim,9/9/1958,In Progress,8/1/2020,Wekweti
43122,Derek,Mccormick,8/11/1998,Qualified,7/25/2020,Clauzetto
37799,Larissa,Ward,2/21/1943,Complete,8/16/2020,Rothesay
28600,Chloe,Black,6/8/1947,Complete,9/27/2020,Saint-Honor�
33599,Blair,Sharpe,9/24/1991,In Progress,9/4/2020,San Rafael
31881,Graiden,Carlson,9/29/1950,Error,10/5/2020,Cowdenbeath
20353,Calvin,Floyd,1/8/1941,Complete,10/2/2020,Bari
21336,Arthur,Cardenas,7/28/1970,In Progress,7/8/2020,Chełm
24281,Arthur,Robles,6/29/1943,Order Not Yet Created,10/8/2020,Olsztyn
43313,Maggie,Burton,8/18/1978,In Progress,8/9/2020,Kaneohe
26076,Kyle,Beasley,4/14/1968,Complete,7/15/2020,Maser
41202,Basil,Haley,5/19/1940,Order Not Yet Created,9/23/2020,Sakhalin
34392,Chase,Huber,4/11/1963,In Progress,8/17/2020,Fredericton
41657,Duncan,Newton,4/26/1992,Qualified,9/18/2020,Caledon
25819,Hanae,Roth,2/5/1975,Complete,7/18/2020,Regina
40864,Grant,Lancaster,3/16/1957,Complete,10/14/2020,Cambridge
53096,Jana,Mcdaniel,5/31/1963,In Progress,8/16/2020,Cumnock
23989,Hu,Dillard,5/4/1971,Error,7/10/2020,Fontanafredda
58383,Carter,Compton,5/26/1984,Complete,10/12/2020,Limena
55753,Delilah,Horton,6/29/1937,In Progress,9/15/2020,Broken Arrow
56488,Riley,Miles,7/30/1994,Order Not Yet Created,9/13/2020,Eghezee
